,State,District,Name,Party,Status,Religion
252,MI,Senator,Debbie Stabenow,D,Continuing,Methodist
253,MN,1,Jim Hagedorn,R,Continuing,Lutheran
254,MN,2,Angie Craig,D,Continuing,Lutheran
255,MN,3,Dean Phillips,D,Continuing,Jewish
256,MN,4,Betty McCollum,D,Continuing,Catholic
257,MN,5,Ilhan Omar,D,Continuing,Muslim
258,MN,6,Tom Emmer,R,Continuing,Catholic
259,MN,7,Michelle Fischbach,R,Freshman,Catholic
260,MN,8,Pete Stauber,R,Continuing,Catholic
261,MN,Senator,Tina Smith,D,Continuing,Presbyterian
262,MN,Senator,Amy Klobuchar,D,Continuing,Congregationalist
263,MO,1,Cori Bush,D,Freshman,Nondenominational
264,MO,2,Ann Wagner,R,Continuing,Catholic
265,MO,3,Blaine Luetkemeyer,R,Continuing,Catholic
266,MO,4,Vicky Hartzler,R,Continuing,Protestant unspecified
267,MO,5,Emanuel Cleaver II,D,Continuing,Methodist
268,MO,6,Sam Graves,R,Continuing,Baptist
269,MO,7,Billy Long,R,Continuing,Presbyterian
270,MO,8,Jason Smith,R,Continuing,Pentecostal
271,MO,Senator,Roy Blunt,R,Continuing,Baptist
272,MO,Senator,Josh Hawley,R,Continuing,Protestant unspecified
273,MS,1,Trent Kelly,R,Continuing,Protestant unspecified
274,MS,2,Bennie Thompson,D,Continuing,Methodist
275,MS,3,Michael Guest,R,Continuing,Baptist
276,MS,4,Steven M. Palazzo,R,Continuing,Catholic
277,MS,Senator,Cindy Hyde-Smith,R,Continuing,Baptist
278,MS,Senator,Roger Wicker,R,Continuing,Baptist
279,MT,At-large,Matt Rosendale,R,Freshman,Catholic
280,MT,Senator,Steve Daines,R,Continuing,Presbyterian
281,MT,Senator,Jon Tester,D,Continuing,Protestant unspecified
282,NC,1,G.K. Butterfield,D,Continuing,Baptist
283,NC,2,Deborah K. Ross,D,Freshman,Unitarian Universalist
284,NC,3,Greg Murphy,R,Continuing,Catholic
285,NC,4,David E. Price,D,Continuing,Baptist
286,NC,5,Virginia Foxx,R,Continuing,Catholic
287,NC,6,Kathy Manning,D,Freshman,Jewish
288,NC,7,David Rouzer,R,Continuing,Baptist
289,NC,8,Richard Hudson,R,Continuing,Protestant unspecified
290,NC,9,Dan Bishop,R,Continuing,Protestant unspecified
291,NC,10,Patrick T. McHenry,R,Continuing,Catholic
292,NC,11,Madison Cawthorn,R,Freshman,Protestant unspecified
293,NC,12,Alma Adams,D,Continuing,Baptist
294,NC,13,Ted Budd,R,Continuing,Nondenominational
295,NC,Senator,Thom Tillis,R,Continuing,Catholic
296,NC,Senator,Richard M. Burr,R,Continuing,Methodist
297,ND,At-large,Kelly Armstrong,R,Continuing,Lutheran
298,ND,Senator,Kevin Cramer,R,Continuing,Protestant unspecified
299,ND,Senator,John Hoeven,R,Continuing,Catholic
300,NE,1,Jeff Fortenberry,R,Continuing,Catholic
301,NE,2,Don Bacon,R,Continuing,Protestant unspecified
302,NE,3,Adrian Smith,R,Continuing,Protestant unspecified
303,NE,Senator,Deb Fischer,R,Continuing,Presbyterian
304,NE,Senator,Ben Sasse,R,Continuing,Lutheran
305,NH,1,Chris Pappas,D,Continuing,Orthodox
306,NH,2,Ann McLane Kuster,D,Continuing,Protestant unspecified
307,NH,Senator,Jeanne Shaheen,D,Continuing,Protestant unspecified
308,NH,Senator,Maggie Hassan,D,Continuing,Congregationalist
309,NJ,1,Donald Norcross,D,Continuing,Lutheran
310,NJ,2,Jeff Van Drew,R,Continuing,Catholic
311,NJ,3,Andy Kim,D,Continuing,Presbyterian
312,NJ,4,Christopher H. Smith,R,Continuing,Catholic
313,NJ,5,Josh Gottheimer,D,Continuing,Jewish
314,NJ,6,Frank Pallone Jr.,D,Continuing,Catholic
315,NJ,7,Tom Malinowski,D,Continuing,Don't know/refused
316,NJ,8,Albio Sires,D,Continuing,Catholic
317,NJ,9,Bill Pascrell Jr.,D,Continuing,Catholic
318,NJ,10,Donald M. Payne Jr.,D,Continuing,Baptist
319,NJ,11,Mikie Sherrill,D,Continuing,Catholic
320,NJ,12,Bonnie Watson Coleman,D,Continuing,Baptist
321,NJ,Senator,Bob Menendez,D,Continuing,Catholic
322,NJ,Senator,Cory Booker,D,Continuing,Baptist
323,NM,1,Deb Haaland,D,Continuing,Catholic
324,NM,2,Yvette Herrell,R,Freshman,Protestant unspecified
325,NM,3,Teresa Leger Fernandez,D,Freshman,Catholic
326,NM,Senator,Ben Ray Lujan,D,Freshman,Catholic
327,NM,Senator,Martin Heinrich,D,Continuing,Lutheran
328,NV,1,Dina Titus,D,Continuing,Orthodox
329,NV,2,Mark Amodei,R,Continuing,Protestant unspecified
330,NV,3,Susie Lee,D,Continuing,Catholic
331,NV,4,Steven Horsford,D,Continuing,Baptist
332,NV,Senator,Catherine Cortez Masto,D,Continuing,Catholic
333,NV,Senator,Jacky Rosen,D,Continuing,Jewish
334,NY,1,Lee Zeldin,R,Continuing,Jewish
335,NY,2,Andrew Garbarino,R,Freshman,Catholic
336,NY,3,Tom Suozzi,D,Continuing,Catholic
337,NY,4,Kathleen Rice,D,Continuing,Catholic
338,NY,5,Gregory W. Meeks,D,Continuing,Methodist
339,NY,6,Grace Meng,D,Continuing,Protestant unspecified
340,NY,7,Nydia M. Velazquez,D,Continuing,Catholic
341,NY,8,Hakeem Jeffries,D,Continuing,Baptist
342,NY,9,Yvette D. Clarke,D,Continuing,Protestant unspecified
343,NY,10,Jerrold Nadler,D,Continuing,Jewish
